Source:,/home/caudanie/Documents/KiCadProjects/MMDVM_HS_Hat/mmdvm_hs-hat.sch,,,,,,,,,,
Date:,Mon 28 May 2018 01:47:52 PM CEST,,,,,,,,,,
Tool:,Eeschema 5.0.0-rc2-unknown-da66005~65~ubuntu16.04.1,,,,,,,,,,
Generator:,/usr/lib/x86_64-linux-gnu/kicad/plugins/bom_csv_grouped_by_value.py,,,,,,,,,,
Component Count:,76,,,,,,,,,,
,,,,,,,,,,,
Individual Components:,,,,,,,,,,,
,,,,,,,,,,,
Item,Qty,Reference(s),Value,LibPart,Footprint,Datasheet,MFR,MPN,SPN,SPR,SPURL
,,C19,10n,mmdvm_hs-hat-rescue:C-RESCUE-mmdvm_hs-hat,Capacitor_SMD:C_0402_1005Metric,http://www.mouser.com/ds/2/427/vjw1bcbascomseries-223529.pdf,Vishay / Vitramon,VJ0402Y103KXJCW1BC,77-VJ0402Y103KXJCBC,Mouser,
,,C20,100n,mmdvm_hs-hat-rescue:C-RESCUE-mmdvm_hs-hat,Capacitor_SMD:C_0402_1005Metric,http://www.mouser.com/ds/2/427/vjw1bcbascomseries-223529.pdf,Vishay / Vitramon,VJ0402V104ZXJCW1BC,77-VJ0402V104ZXJCBC,Mouser,
,,C21,20p,mmdvm_hs-hat-rescue:C-RESCUE-mmdvm_hs-hat,Capacitor_SMD:C_0402_1005Metric,http://www.mouser.com/ds/2/281/c02e-2905.pdf,Murata Electronics,GJM1555C1H200FB01D,81-GJM1555C1H200FB1D,Mouser,
,,C22,10n,mmdvm_hs-hat-rescue:C-RESCUE-mmdvm_hs-hat,Capacitor_SMD:C_0402_1005Metric,http://www.mouser.com/ds/2/427/vjw1bcbascomseries-223529.pdf,Vishay / Vitramon,VJ0402Y103KXJCW1BC,77-VJ0402Y103KXJCBC,Mouser,
,,C23,20p,mmdvm_hs-hat-rescue:C-RESCUE-mmdvm_hs-hat,Capacitor_SMD:C_0402_1005Metric,http://www.mouser.com/ds/2/281/c02e-2905.pdf,Murata Electronics,GJM1555C1H200FB01D,81-GJM1555C1H200FB1D,Mouser,
,,C24,100n,mmdvm_hs-hat-rescue:C-RESCUE-mmdvm_hs-hat,Capacitor_SMD:C_0402_1005Metric,http://www.mouser.com/ds/2/427/vjw1bcbascomseries-223529.pdf,Vishay / Vitramon,VJ0402V104ZXJCW1BC,77-VJ0402V104ZXJCBC,Mouser,
,,C25,100n,mmdvm_hs-hat-rescue:C-RESCUE-mmdvm_hs-hat,Capacitor_SMD:C_0402_1005Metric,http://www.mouser.com/ds/2/427/vjw1bcbascomseries-223529.pdf,Vishay / Vitramon,VJ0402V104ZXJCW1BC,77-VJ0402V104ZXJCBC,Mouser,
,,C26,100n,mmdvm_hs-hat-rescue:C-RESCUE-mmdvm_hs-hat,Capacitor_SMD:C_0402_1005Metric,http://www.mouser.com/ds/2/427/vjw1bcbascomseries-223529.pdf,Vishay / Vitramon,VJ0402V104ZXJCW1BC,77-VJ0402V104ZXJCBC,Mouser,
,,C27,100n,mmdvm_hs-hat-rescue:C-RESCUE-mmdvm_hs-hat,Capacitor_SMD:C_0402_1005Metric,http://www.mouser.com/ds/2/427/vjw1bcbascomseries-223529.pdf,Vishay / Vitramon,VJ0402V104ZXJCW1BC,77-VJ0402V104ZXJCBC,Mouser,
,,C28,100n,mmdvm_hs-hat-rescue:C-RESCUE-mmdvm_hs-hat,Capacitor_SMD:C_0402_1005Metric,http://www.mouser.com/ds/2/427/vjw1bcbascomseries-223529.pdf,Vishay / Vitramon,VJ0402V104ZXJCW1BC,77-VJ0402V104ZXJCBC,Mouser,
